LAST_PING_TIMESTAMP,COOKIE_ID,PAGE_SESSION_ID,PATH,NEW_USER,DEVICE,ENGAGED_TIME_ON_PAGE_SECONDS,CITY_NAME,COUNTRY_NAME,UTC_OFFSET_MINUTES,USER_AGENT,RECENCY,FREQUENCY,AUTHOR,SECTION,SECTION2,CONTENT_TYPE,PAGE_TITLE,SCROLLDEPTH,TOTAL_TIME_ON_PAGE_SECONDS,SUBSCRIBER_ACCT,PAGE_LOAD_TIME
1707203064,Yyb8bHbxMpMGr9cU,VkF8e9c3vNsgoUN9JeNNVENqQB8=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,60,0,5737
1707131048,9R5UeLgzZwUy3Nxr,/+OSwumSEVEhSmoPCf1z2qN9G7U=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,mobile,0,,India,330,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",619,165,0,3006
1707127570,1MoQook1+90cETLs,mARcdp+qKv407AZ5l1qIYSowwdY=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,25,Mumbai,India,360,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",1,5,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",2301,30,0,889
1707127570,omX4/5WfOjZmPlc2,3gzWU9K1oHS/8kZv/D94GnyvdEk=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,mobile,2,Chennai,India,330,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Mobile Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1530,2,0,1788
1707135177,pTprgnivBHs9lKMO,MVcu4JEOIQ/BS/vaho+t2Z6uJM4=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,mobile,0,Kochi,India,330,"Mozilla/5.0 (Linux; Android 11; RMX1971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",600,165,0,2188
1707210174,ueSj2itlMrZ6n4ph,JjPLNs7Y3zwV8TuHWqvvTpHPEwM=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,60,0,6221
1707313653,IlQu8HKLhyJPuEMb,Sa5uI9RzLGlWR/fQw0hZpIpB6Ac=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,5,Slough,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",1080,15,0,5572
1707134832,8iWuqaBKgORLd13c,HJizjJr6zJ39tOTkiXm5Elo2ePQ=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,TRUE,desktop,13,Northwich,United Kingdom,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",0,1,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",2653,15,0,1478
1707129520,R4ZNpg+YRnPQS+M3,Yy3fgzJ8rlfPBmB9im/1qHUI+KU=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,39,Kochi,India,330,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1,16,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",4799,45,0,567
1707136665,GfvKv2R6eaXcWK6x,lx2+luh10eLeXbi20tOxC1blJlM=,english.scoop.com/news/WB/bjp-leader-v-muraleedharan-about-WB-state-budget-1.9298538,FALSE,desktop,82,Dubai,United Arab Emirates,240,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",2,12,anandp,"news,news/WB,regular articles,medium content",News WB,english article,"""Big farce...no realistic plans"": BJP leader V Muraleedharan on WB budget, WB budget 2024, balagopal, v muraleedharan, bjp, cpm, WB government",5853,111,0,683
